year,timestep1,timestep,cases,nets,,,
2008,365.00,0.00,414137.00,12000.00,,,
2009,730.00,365.00,370258.00,8004.00,,,
2010,1095.00,730.00,400495.00,9267.00,,,
2011,1460.00,1095.00,382303.00,1665.00,,,
2012,1825.00,1460.00,410663.00,515.00,,,
2013,2190.00,1825.00,476764.00,467.00,,,
2014,2555.00,2190.00,522617.00,2666.00,,,
2015,2920.00,2555.00,625174.00,1041.00,,,
2016,3285.00,2920.00,852556.00,30000.00,,,
2017,3650.00,3285.00,1144635.00,5000.00,,,
2018,4015.00,3650.00,699130.00,81402.00,,,
2019,4380.00,4015.00,1104736.00,73605.00,,,
